Topic,Topic_isced,Size,Discipline,Discipline_isced,Nationality,Gender,Position,Country_University,Prestige,Year,Location,
Ecology,Agriculture and forestry and fishery,7,Economics,Social and behavioural science,German,Male,Student,Germany,401-500,2014,Santa Fe,
Ecology,Agriculture and forestry and fishery,7,Ecology,Life sciences,,Female,PostDoc,United States,51-100,2014,Santa Fe,
,Agriculture and forestry and fishery,3,Engineering,Engineering and engineering trades,,Female,Postdoc,United Kingdom,Not University,2016,Santa Fe,
Ecology,Agriculture and forestry and fishery,7,Computer Science,Computing,United States,Male,Student,United States,101-150,2014,Santa Fe,
,Agriculture and forestry and fishery,3,"Physics, Anthropology",Physical sciences;Social and behavioural science,,Male,Student,United States,51-100,2016,Santa Fe,
Ecology,Agriculture and forestry and fishery,7,Sustainability,Environmental protection,,Male,Researcher,Japan,Top 50,2014,Santa Fe,
Ecology,Agriculture and forestry and fishery,7,Economics,Social and behavioural science,Italian,Female,Student,Italy,Unlisted,2014,Santa Fe,
Ecology,Agriculture and forestry and fishery,7,Physics,Physical sciences,Spanish,Male,PostDoc,Belgium,201-300,2014,Santa Fe,
Ecology,Agriculture and forestry and fishery,7,FIne Arts,Arts,,Female,Student,United States,Top 50,2014,Santa Fe,
Ecology,Agriculture and forestry and fishery,1,Ecology,Life sciences,,Male,PostDoc,United States,Top 50,2006,Santa Fe,
,Architecture and building,9,Bioinformatics,Life sciences;Computing,United States,Male,Student,United States,51-100,2018,Santa Fe,
,Architecture and building,10,Urban Planning,Architecture and building,,Male,Government,Singapore,Not University,2017,Santa Fe,
Urban Planning,Architecture and building,3,Computational Social Science,Computing;Social and behavioural science,,Male,Student,United States,201-300,2013,Santa Fe,
Urban Planning,Architecture and building,11,"Ecology, Physics",Physical sciences;Life sciences,Israeli,Male,Student,Israel,51-100,2014,Santa Fe,
Urban Planning,Architecture and building,11,Urban Planning,Architecture and building,Brazilian,Male,Researcher,Brazil,Not University,2014,Santa Fe,
,Architecture and building,6,Economics,Social and behavioural science,,Male,Researcher,,Not University,2016,Santa Fe,
,Architecture and building,10,Engineering,Engineering and engineering trades,,Female,Industry,United States,Not University,2017,Santa Fe,
Urban Planning,Architecture and building,11,Medicine,Health,Japanese,Male,Researcher,United States,Top 50,2014,Santa Fe,
