Title,Description,Topic,Topic_isced,Size,Name,Discipline,Discipline_isced,Biography,Nationality,Gender,Position,Affiliation,Country_University,Prestige,Year,Location,Notes,
Measures of Structural Complexity Networks,,,Computing,6,Chad Gonzales,,,,,Male,,Arizona State University,United States,101-150,2005,Santa Fe,Fabian,
Measures of Structural Complexity Networks,,,Computing,6,Luis Da Costa,Engineering,Engineering and engineering trades,,Canada,Male,,Ecole de technologie Superieure,Canada,Unlisted,2005,Santa Fe,Fabian,
Agent-Based Modeling of Networks of Logistic Maps with Long-Range Coupling,,,Computing,2,Balazs Adamcsek,,,,Hungary,Male,,Eötvös Lorán University of Sciences,Hungary,Unlisted,2005,Santa Fe,Fabian,
Measures of Structural Complexity Networks,,,Computing,6,Maria Széliga,,,,,Female,,IFIR / CONICET,Argentinia,Not University,2005,Santa Fe,Fabian,
Measures of Structural Complexity Networks,,,Computing,6,Christopher Honey,,,,,Male,,Indiana University,United States,101-150,2005,Santa Fe,Fabian,
A Swarm of Mars 'Tumbleweed' Rovers: Collective Exploration of Rugged Landscapes Leveraging Environmental Gradients,,,Computing,5,Kurt Severance,,,,,Male,,NASA,United States,Not University,2005,Santa Fe,Fabian,
A Swarm of Mars 'Tumbleweed' Rovers: Collective Exploration of Rugged Landscapes Leveraging Environmental Gradients,,,Computing,5,James Rigdon,,,,,Male,,Sandia National Laboratories,United States,Not University,2005,Santa Fe,Fabian,
A Swarm of Mars 'Tumbleweed' Rovers: Collective Exploration of Rugged Landscapes Leveraging Environmental Gradients,,,Computing,5,Keisuke Okamoto,,,,,Male,,Toyota Motor Corporation,United States,Not University,2005,Santa Fe,Fabian,
Measures of Structural Complexity Networks,,,Computing,6,Dalia Terhesiu,,,,,Female,,University of Connecticut,United States,301-400,2005,Santa Fe,Fabian,
Agent-Based Modeling of Networks of Logistic Maps with Long-Range Coupling,,,Computing,2,Anton Burykin,,,,,Male,,Washington University in St. Louis,United States,Top 50,2005,Santa Fe,Fabian,
Cooling Hybrid Learning for Neural Networks,,,Computing,1,Aristoklis Anastasiadis,Computer Science,Computing,,Greece,Male,,,,,2005,Santa Fe,Fabian,
Measures of Structural Complexity Networks,,,Computing,6,Aristoklis Anastasiadis,Computer Science,Computing,,Greece,Male,,,,,2005,Santa Fe,Fabian,
A Swarm of Mars 'Tumbleweed' Rovers: Collective Exploration of Rugged Landscapes Leveraging Environmental Gradients,,,Computing,5,Michal Jakob,,,,,Male,,,,,2005,Santa Fe,Fabian,"Does neither have affiliation listed, nor the country from which the person arrived."
A Swarm of Mars 'Tumbleweed' Rovers: Collective Exploration of Rugged Landscapes Leveraging Environmental Gradients,,,Computing,5,,,,,,,,,,,2005,Santa Fe,Fabian,"Should be K. Zick, but is not listed in the participants list"
