Social institutions and economic inequality: Modeling the onset of the Kuznets curve,['Claudius Gräbner', 'Francesca Lipari', 'BRAIS ALVAREZ PEREIRA']
Errata in" The Political Economy of the Kuznets Curve",['Claudius Gräbner', 'Francesca Lipari', 'Bernardo Alves Furtado', 'BRAIS ALVAREZ PEREIRA', 'Dr Catherine Bale']
Social Institutions and Economic Inequality,['Claudius Gräbner', 'Francesca Lipari', 'Bernardo Alves Furtado', 'Dr Catherine Bale']
Getting the best of both worlds? Developing complementary equation-based and agent-based models,['Claudius Gräbner', 'Francesca Lipari', 'Bernardo Alves Furtado', 'BRAIS ALVAREZ PEREIRA', 'Dr Catherine Bale']
Persistence of pollination systems,['Luis A. Martinez-Vaquero', 'Alberto Antonioni', 'Flavia Maria Darcie Marquitti']
Investigating Peer and Sorting Effects within an Adaptive Multiplex Network Model,['Francesca Lipari', 'Alberto Antonioni', 'Massimo Stella']
Individual perception dynamics in drunk games,['Luis A. Martinez-Vaquero', 'Alberto Antonioni', 'Leto Peel', 'Massimo Stella', 'Cole Mathis']
Can simple models reproduce complex transportation networks: Human cities and ant colonies,['Bernardo Alves Furtado', 'Claire Lagesse']
QUAnTifying COnvERgEnCE in THE SCiEnCES,['Sara Lumbreras', 'Samuel F. Way']
Ablation as targeted perturbation to rewire communication network of persistent atrial fibrillation,['Hiroshi Ashikaga, MD, PhD', 'Samuel F. Way', 'Joshua Garland']
¿ Convergen las diferentes disciplinas de conocimiento? evidencia cuantitativa,['Sara Lumbreras', 'Samuel F. Way', 'CJO Verzijl']
Therapeutic intervention improves communications and rewires functional cardiac networks of human atrial fibrillation,['Hiroshi Ashikaga, MD, PhD', 'Samuel F. Way', 'Joshua Garland']
Norms Propagation and their Reinforcement,['Francesca Lipari', 'BRAIS ALVAREZ PEREIRA']
A Model for Revolution Based on Multiplex Networks,['Francesca Lipari', 'BRAIS ALVAREZ PEREIRA', 'Vipin P. Veetil']
Modelling the heart as a communication system,['Hiroshi Ashikaga, MD, PhD', 'Flavia Maria Darcie Marquitti', 'Elizabeth Lusczek', 'José Aguilar-Rodríguez', 'Joshua Garland']
Dynamical game theory,['Luis A. Martinez-Vaquero', 'Leto Peel']
How Artificial Intelligence Can Inform Neuroscience: A Recipe for Conscious Machines?,['Claire Lagesse', 'Elizabeth Lusczek']
Detecting communities using information flow in social networks,['Elisa Omodei', 'Cesar O. Flores Garcia', 'Luís F. Seoane']
Understanding mobility in a social petri dish,['Roberta Sinatra', 'Michael Szell', 'Giovanni Petri']
